Product_ID,Product_Name,Product_Group,Primary_Category,Street_Address,Locality,Region,Mailing_Address,Postal_Code,Website,Facebook,Twitter,Latitude,Longitude,
4558753,Living Forest Oceanside Campground & RV Park,Accommodation,Accom - Campground/RV Parks,6 Maki Rd,Nanaimo,Vancouver Island,6 Maki Rd,V9R6N7,http://www.livingforest.com,http://facebook.com/livingforestrv,http://twitter.com/livingforestrv,49.13312,-123.9112,
900282700,Moresby Island Guest House,Accommodation,Accom - B&B,385 Beach Road,Sandspit,Northern British Columbia,385 Beach Road,V0T1T0,https://www.moresbyislandguesthouse.com/,,,53.24509,-131.8249,
4541191,Alpen Motel,Accommodation,Accom - Motel,5022 Hwy 93,Radium Hot Springs,Kootenay Rockies,5022 Highway 93 P.O. Box 6,V0A1M0,http://www.alpenmotel.com/,,,50.62671,-116.066,
900316425,Versante Hotel,Accommodation,Accom - Hotel,8451 Bridgeport Road,Richmond,Vancouver Coast & Mountains,8499 Bridgeport Rd,V6X3C7,https://www.versantehotel.com/,https://www.facebook.com/versantehotel,https://twitter.com/Versantehotel,49.19198,-123.1306,
900313564,Humpback Inn,Accommodation,Accom - Hotel,1528 Broughton Boulevard,Port McNeill,Vancouver Island,1528 Broughton Blvd,V0N2R0,https://www.humpbackinn.com/,,,50.58981,-127.0877,
900035270,Kootenay Lake Lodge,Accommodation,Accom - Cabin/Cottage;Accom - Campground/RV Parks,12625 British Columbia 3A,Boswell,Kootenay Rockies,12625 3a Hwy,V0B1A4,https://www.facebook.com/kootenaylakewaterfrontchalets/,,,49.47475,-116.7689,
900054940,Riverbend Guest House (B&B),Accommodation,Accom - B&B,50691 O'Byrne Road,Chilliwack,Vancouver Coast & Mountains,50691 O'Byrne Rd Slesse Park,V4Z1B5,http://www.riverbendguesthouse.com,,,49.07592,-121.8281,
4541486,At The Beach Retreat,Accommodation,Accom - B&B,872 Alderside Rd,Port Moody,Vancouver Coast & Mountains,872 Alderside Rd,V3H3A6,http://www.atthebeachretreat.com,http://www.facebook.com/PortMoodyBandB,,49.29333,-122.8567,
4540417,Executive Hotel Le Soleil,Accommodation,Accom - Hotel,567 Hornby St,Vancouver,Vancouver Coast & Mountains,567 Hornby Street,V6C2E8,http://www.hotellesoleil.com/vancouver/home/,https://www.facebook.com/ExecutiveHotelLeSoleil,https://twitter.com/hotellesoleilbc,49.28536,-123.1182,
4543986,Billy Barker Casino Hotel,Accommodation,Accom - Hotel;A&A - Activities,308 McLean St,Quesnel,Cariboo Chilcotin Coast,308 McLean St,V2J2N9,http://billybarkercasino.com/,,,52.97773,-122.4951,
4552499,Birch Bay Resort,Accommodation,Accom - Cabin/Cottage;Accom - Campground/RV Parks,Birch Bay Rd,Francois Lake,Northern British Columbia,Francois Lake Road,V0J1S0,http://www.birchbay.ca,http://www.facebook.com/sharer/sharer.php?u=http%3A%2F%2Fwww.birchbay.ca%2F,,54.05846,-124.8569,
900313158,Luxury Mountain Vacation Rentals,Accommodation,Accom - Management Company,Big White Ski Resort,Big White Ski Resort,Thompson Okanagan,,V1P1P3,http://www.lmvrentals.ca/,,,49.72471,-118.9194,
4540778,Birch Island Campground,Accommodation,Accom - Campground/RV Parks;Accom -Campground / RV Parks,88 Walker Rd,Clearwater,Thompson Okanagan,88 Walker Rd,V0E1N0,http://birchislandcampground.ca/,,,50.61156,-118.7214,
4541586,Birkenhead Lake Provincial Park,Accommodation,Accom - Parks - National;A&A - Activities,Blackwater Lake Road,Birken,Vancouver Coast & Mountains,Blackwater Lake Road,V0N1L0,http://www.env.gov.bc.ca/bcparks/explore/parkpgs/birkenhead_lk/,https://www.facebook.com/seatoskyparks,http://twitter.com/SeatoSkyParks,50.55975,-122.6664,
4541687,Blanket Creek Provincial Park,Accommodation,Accom - Parks - National,Columbia-Shuswap B,Revelstoke,Kootenay Rockies,Columbia-Shuswap B,V0E2S0,http://www.env.gov.bc.ca/bcparks/explore/parkpgs/blanket_crk/,https://www.facebook.com/YourBCParks,,50.98888,-118.1966,
4554561,Blue Lake Resort,Accommodation,Accom - Campground/RV Parks;Accom -Cabin / Cottage,63452 Blue Lake Rd,Boston Bar,Vancouver Coast & Mountains,63452 Blue Lake Rd,V0K1C0,http://www.bluelakeresort.ca/#,,,49.9948,-121.4907,
4578888,Winston Lodge,Accommodation,A&A - Activities,1593 Cache Cl,Golden,Kootenay Rockies,1593 Cache CloseP.O. Box 5,V0A1H0,https://www.facebook.com/Winston-Lodge-143075326519959/,http://www.facebook.com/winston.7272,http://twitter.com/winston_lodge,51.30067,-117.0513,
900318472,The Copeland,Accommodation,Accom - B&B,400 Mackenzie Avenue,Revelstoke,Kootenay Rockies,400 Mackenzie Avenue,V0E2S0,https://www.thecopeland.ca/,https://www.facebook.com/TheCopelandRevelstoke,,50.99738,-118.1969,
